1.42343247   0.95572104   1.09104860   1.09074780   1.09074780   108.78753620   112.03585638   109.48161644   109.48161644   0.00000000   120.37932608   239.62067392   120.00000000
1.42338158   0.95573483   1.09107094   1.09064552   1.09088142   108.78418073   112.03505094   109.33822453   109.62996052   2.50000000   122.81275380   242.05383979   122.45553120
1.42333578   0.95576086   1.09108973   1.09042181   1.09110286   108.77837733   112.03325888   109.18684411   109.77736436   5.00000000   125.23951044   244.47583029   124.90511358
1.42326551   0.95580405   1.09111993   1.09020073   1.09131862   108.76865463   112.03040560   109.03512558   109.92195681   7.50000000   127.66709464   246.89527655   127.35412373
1.42316810   0.95586351   1.09116181   1.08998330   1.09152893   108.75535813   112.02669499   108.88368948   110.06344246   10.00000000   130.09545083   249.31218602   129.80254562
1.42304387   0.95593820   1.09121443   1.08977182   1.09173266   108.73865041   112.02184473   108.73238205   110.20197868   12.50000000   132.52293317   251.72616434   132.24969917
1.42290614   0.95602760   1.09127851   1.08955953   1.09193221   108.71777993   112.01581998   108.58226866   110.33674249   15.00000000   134.95087809   254.13575121   134.69554310
1.42273796   0.95612902   1.09135214   1.08936154   1.09211683   108.69538712   112.01029459   108.43547928   110.46625400   17.50000000   137.38000360   256.54403324   137.14134562
1.42254984   0.95624137   1.09143503   1.08917230   1.09229065   108.67068453   112.00447965   108.29145250   110.59107405   20.00000000   139.80885926   258.94925573   139.58603833
1.42234597   0.95636290   1.09152603   1.08899292   1.09245216   108.64402423   111.99846925   108.15078336   110.71085446   22.50000000   142.23725226   261.35144484   142.02956570
1.42212979   0.95649166   1.09162404   1.08882425   1.09260026   108.61585470   111.99237909   108.01406237   110.82534539   25.00000000   144.66505303   263.75070700   144.47192001
1.42190480   0.95662557   1.09172793   1.08866709   1.09273402   108.58665966   111.98630661   107.88186687   110.93435500   27.50000000   147.09218579   266.14722691   146.91313757
1.42167444   0.95676245   1.09183646   1.08852224   1.09285270   108.55692647   111.98025639   107.75448607   111.03792411   30.00000000   149.51840343   268.54118486   149.35319609
1.42144290   0.95690020   1.09194841   1.08838996   1.09295549   108.52719670   111.97440591   107.63306586   111.13556367   32.50000000   151.94422872   270.93312581   151.79245151
1.42121863   0.95703578   1.09206131   1.08826822   1.09304068   108.49854678   111.96887495   107.51661665   111.22768252   35.00000000   154.36942441   273.32243293   154.23061911
1.42099554   0.95716848   1.09217578   1.08816286   1.09311024   108.47041350   111.96323039   107.40805401   111.31377869   37.50000000   156.79439456   275.71164736   156.66868064
1.42078187   0.95729541   1.09228980   1.08807116   1.09316292   108.44399235   111.95755834   107.30676848   111.39408758   40.00000000   159.21927227   278.10043468   159.10656898
1.42058626   0.95741395   1.09240070   1.08799202   1.09319670   108.41992354   111.95194426   107.21231818   111.46876995   42.50000000   161.64434581   280.48886317   161.54440299
1.42040244   0.95752335   1.09250761   1.08792894   1.09321613   108.39795469   111.94547149   107.12682940   111.53816376   45.00000000   164.06984924   282.87909456   163.98298127
1.42023911   0.95762144   1.09261095   1.08787761   1.09321918   108.37882135   111.93808539   107.04980556   111.60183375   47.50000000   166.49618824   285.27106387   166.42241737
1.42009359   0.95770682   1.09270928   1.08784254   1.09320584   108.36252863   111.92977209   106.98216914   111.66067252   50.00000000   168.92417249   287.66608491   168.86341913
1.41997137   0.95777780   1.09280079   1.08782135   1.09317705   108.34957014   111.92018386   106.92398930   111.71461043   52.50000000   171.35396520   290.06481072   171.30625864
1.41987458   0.95783327   1.09288440   1.08781386   1.09313343   108.34019579   111.90865829   106.87576763   111.76386155   55.00000000   173.78618504   292.46853551   173.75157352
1.41980505   0.95787229   1.09295893   1.08781990   1.09307568   108.33453862   111.89470525   106.83788291   111.80871186   57.50000000   176.22143067   294.87839138   176.19994068
1.41976394   0.95789416   1.09302348   1.08783912   1.09300473   108.33268888   111.87778343   106.81071900   111.84941785   60.00000000   178.66029864   297.29556816   178.65195560
1.41975206   0.95789846   1.09307722   1.08787116   1.09292156   108.33466766   111.85732945   106.79462406   111.88625689   62.50000000   181.10339753   299.72127014   181.10822255
1.41976978   0.95788501   1.09311938   1.08791559   1.09282729   108.34044001   111.83275643   106.78992196   111.91949891   65.00000000   183.55136685   302.15673723   183.56936803
1.41981696   0.95785394   1.09314925   1.08797180   1.09272292   108.34992104   111.80365485   106.79686975   111.94924809   67.50000000   186.00485424   304.60311387   186.03598937
1.41989322   0.95780554   1.09316629   1.08803951   1.09261025   108.36294910   111.76903228   106.81577652   111.97611235   70.00000000   188.46442290   307.06180305   188.50874198
1.41999752   0.95774050   1.09316999   1.08811801   1.09249052   108.37932750   111.72850750   106.84682278   112.00013512   72.50000000   190.93072720   309.53393741   190.98822154
1.42012855   0.95765971   1.09315966   1.08820681   1.09236532   108.39888993   111.68138912   106.89030744   112.02150008   75.00000000   193.40418713   312.02087937   193.47502217
1.42029179   0.95756518   1.09313574   1.08830355   1.09223522   108.42058701   111.62787328   106.94549807   112.04020448   77.50000000   195.88567294   314.52288591   195.96951962
