1.41982690 0.95791024 1.09305452 1.08776481 1.09305452 108.32689785 111.86551325 106.80473528 111.86551325  61.37464819 180.00000000 298.62535181
1.41976327 0.95788879 1.09297616 1.08779039 1.09311441 108.33570003 111.85937238 106.80730048 111.87248004  63.79271750 182.50000000 301.05035312
1.41979530 0.95786225 1.09298050 1.08780907 1.09308108 108.34135662 111.84585700 106.82495796 111.87533241  66.20609225 185.00000000 303.47773217
1.41986346 0.95781886 1.09297217 1.08783924 1.09303575 108.34996163 111.82680147 106.85380656 111.87550810  68.61751646 187.50000000 305.91254489
1.41996019 0.95775885 1.09295206 1.08788126 1.09297998 108.36183914 111.80167742 106.89395419 111.87390249  71.02863039 190.00000000 308.35648332
1.42008331 0.95768305 1.09292043 1.08793511 1.09291437 108.37687883 111.76979169 106.94527210 111.87124664  73.44085811 192.50000000 310.81097871
1.42022836 0.95759324 1.09287710 1.08800292 1.09284113 108.39439191 111.73116213 107.00860215 111.86763629  75.85558556 195.00000000 313.27844582
1.42040036 0.95749032 1.09282370 1.08807985 1.09275946 108.41394571 111.68373208 107.08155214 111.86508106  78.27479591 197.50000000 315.75785246
1.42058938 0.95737484 1.09275906 1.08816873 1.09266861 108.43706043 111.62794684 107.16509558 111.86266189  80.69861852 200.00000000 318.25177669


1.41981480 0.95785412 1.09294560 1.08780307 1.09307970 108.34330051 111.84675947 106.82034900 111.88050406  66.20949697 185.00000000 303.47717369
1.42001566 0.95775822 1.09292116 1.08787136 1.09297332 108.35972605 111.80043615 106.89064266 111.87746029  71.03097584 190.00000000 308.35625196
1.42027191 0.95759044 1.09284823 1.08799956 1.09283271 108.39231254 111.72914571 107.00461108 111.87259001  75.85924477 195.00000000 313.27672224
1.42066082 0.95737163 1.09272117 1.08817102 1.09265178 108.43414568 111.62469801 107.16156661 111.86594501  80.70141350 200.00000000 318.25075772
1.42108624 0.95711110 1.09255914 1.08838802 1.09244660 108.48646986 111.48498105 107.35891356 111.86551803  85.57010159 205.00000000 323.28611206
1.42155132 0.95682806 1.09235922 1.08864805 1.09222309 108.54359277 111.30617531 107.59270837 111.87237669  90.47359851 210.00000000 328.39018600
1.42203045 0.95654106 1.09212278 1.08894703 1.09199079 108.60254210 111.08582238 107.86041208 111.88701877  95.41729502 215.00000000 333.56757204
1.42248347 0.95627080 1.09185659 1.08928180 1.09176224 108.65901840 110.82459818 108.15703151 111.90991218 100.40578704 220.00000000 338.81895681
1.42287669 0.95603730 1.09156577 1.08964724 1.09155009 108.70883390 110.52483292 108.47723716 111.93971067 105.44000360 225.00000000 344.14079447
1.42317833 0.95585915 1.09125586 1.09003602 1.09136629 108.74830768 110.19126523 108.81455353 111.97400127 110.51735786 230.00000000 349.52436231
1.42336245 0.95575096 1.09093273 1.09047369 1.09122282 108.77419665 109.83084638 109.16222624 112.00963417 115.63143563 235.00000000 354.95598426
1.42350566 0.95570290 1.09071271 1.09071271 1.09101854 108.79667944 109.48013874 109.48013874 112.02817953 120.37911985 239.62088015 360.00000000
