 AHH1=              125.93273586 DEGREE
 RCH2=                1.09125136 ANGSTROM
 AOCH2=             109.85600111 DEGREE
 RCH3=                1.09109247 ANGSTROM
 AOCH3=             112.07275896 DEGREE
 AHH3=              365.88989084 DEGREE

 RCO=                 1.42309839 ANGSTROM
 ROH=                 0.95590678 ANGSTROM
 ACOH=              108.75608575 DEGREE
 RCH1=                1.08993973 ANGSTROM
 AOCH1=             108.68676093 DEGREE
 AHH1=              131.09636020 DEGREE
 RCH2=                1.09163692 ANGSTROM
 AOCH2=             110.18611337 DEGREE
 RCH3=                1.09111663 ANGSTROM
 AOCH3=             112.09523952 DEGREE
 AHH3=              371.34984510 DEGREE

 RCO=                 1.42276066 ANGSTROM
 ROH=                 0.95610486 ANGSTROM
 ACOH=              108.71954299 DEGREE
 RCH1=                1.08961660 ANGSTROM
 AOCH1=             108.32042556 DEGREE
 AHH1=              136.25176143 DEGREE
 RCH2=                1.09199684 ANGSTROM
 AOCH2=             110.49560632 DEGREE
 RCH3=                1.09120054 ANGSTROM
 AOCH3=             112.10907178 DEGREE
 AHH3=              376.77761095 DEGREE

 RCO=                 1.42236387 ANGSTROM
 ROH=                 0.95635540 ANGSTROM
 ACOH=              108.66953230 DEGREE
 RCH1=                1.08930072 ANGSTROM
 AOCH1=             107.98044280 DEGREE
 AHH1=              141.38943280 DEGREE
 RCH2=                1.09231481 ANGSTROM
 AOCH2=             110.77631868 DEGREE
 RCH3=                1.09134130 ANGSTROM
 AOCH3=             112.11440160 DEGREE
 AHH3=              382.15441779 DEGREE

 RCO=                 1.42187888 ANGSTROM
 ROH=                 0.95663476 ANGSTROM
 ACOH=              108.61415369 DEGREE
 RCH1=                1.08900343 ANGSTROM
 AOCH1=             107.67386455 DEGREE
 AHH1=              146.50018632 DEGREE
 RCH2=                1.09259199 ANGSTROM
 AOCH2=             111.02663272 DEGREE
 RCH3=                1.09153221 ANGSTROM
 AOCH3=             112.11225148 DEGREE
 AHH3=              387.46792364 DEGREE

 RCO=                 1.42138109 ANGSTROM
 ROH=                 0.95692462 ANGSTROM
 ACOH=              108.55448264 DEGREE
 RCH1=                1.08872397 ANGSTROM
 AOCH1=             107.40800182 DEGREE
 AHH1=              151.57843127 DEGREE
 RCH2=                1.09281858 ANGSTROM
 AOCH2=             111.24242487 DEGREE
 RCH3=                1.09176077 ANGSTROM
 AOCH3=             112.10203130 DEGREE
 AHH3=              392.70906713 DEGREE

 RCO=                 1.42090791 ANGSTROM
 ROH=                 0.95720343 ANGSTROM
 ACOH=              108.49562573 DEGREE
 RCH1=                1.08846474 ANGSTROM
 AOCH1=             107.18705350 DEGREE
 AHH1=              156.62069187 DEGREE
 RCH2=                1.09298882 ANGSTROM
 AOCH2=             111.42284979 DEGREE
 RCH3=                1.09201498 ANGSTROM
 AOCH3=             112.08373377 DEGREE
 AHH3=              397.87493216 DEGREE

 RCO=                 1.42047929 ANGSTROM
 ROH=                 0.95745272 ANGSTROM
 ACOH=              108.44123875 DEGREE
 RCH1=                1.08823399 ANGSTROM
 AOCH1=             107.01436714 DEGREE
 AHH1=              161.62659402 DEGREE
 RCH2=                1.09310533 ANGSTROM
 AOCH2=             111.56980101 DEGREE
 RCH3=                1.09228163 ANGSTROM
 AOCH3=             112.05777341 DEGREE
 AHH3=              402.96622828 DEGREE

 RCO=                 1.42013500 ANGSTROM
 ROH=                 0.95765603 ANGSTROM
 ACOH=              108.39483287 DEGREE
 RCH1=                1.08803195 ANGSTROM
 AOCH1=             106.89091064 DEGREE
 AHH1=              166.59843078 DEGREE
 RCH2=                1.09316131 ANGSTROM
 AOCH2=             111.68450518 DEGREE
 RCH3=                1.09254923 ANGSTROM
 AOCH3=             112.02275950 DEGREE
 AHH3=              407.98817830 DEGREE

 RCO=                 1.41989063 ANGSTROM
 ROH=                 0.95780083 ANGSTROM
 ACOH=              108.36029371 DEGREE
 RCH1=                1.08787196 ANGSTROM
 AOCH1=             106.81517936 DEGREE
 AHH1=              171.53820378 DEGREE
 RCH2=                1.09316454 ANGSTROM
 AOCH2=             111.77273688 DEGREE
 RCH3=                1.09279180 ANGSTROM
 AOCH3=             111.97823771 DEGREE
 AHH3=              412.94940188 DEGREE

 RCO=                 1.41979560 ANGSTROM
 ROH=                 0.95788173 ANGSTROM
 ACOH=              108.33727574 DEGREE
 RCH1=                1.08774814 ANGSTROM
 AOCH1=             106.78896372 DEGREE
 AHH1=              176.45210088 DEGREE
 RCH2=                1.09310478 ANGSTROM
 AOCH2=             111.83440854 DEGREE
 RCH3=                1.09300712 ANGSTROM
 AOCH3=             111.92076480 DEGREE
 AHH3=              417.85450702 DEGREE

 RCO=                 1.41977094 ANGSTROM
 ROH=                 0.95789050 ANGSTROM
 ACOH=              108.33054561 DEGREE
 RCH1=                1.08767488 ANGSTROM
 AOCH1=             106.81007823 DEGREE
 AHH1=              181.34380890 DEGREE
 RCH2=                1.09301006 ANGSTROM
 AOCH2=             111.88023912 DEGREE
 RCH3=                1.09319076 ANGSTROM
 AOCH3=             111.85150975 DEGREE
 AHH3=              422.71655835 DEGREE
