 "MMM"   1.42456702   0.95792836   1.08927368   1.08843724   1.08843724   108.59331888   111.92835714   109.51017949   109.51017949   0.000000000   120.00000000   240.00000000   0.000000000
 "MMM"   1.42441305   0.95795762   1.08933867   1.08802679   1.08894187   108.58094846   111.93089497   109.22033056   109.80128314   5.000000000   125.00000000   245.00000000   5.000000000
 "MMM"   1.42422954   0.95805337   1.08943118   1.08751140   1.08945292   108.55436575   111.92227790   108.92897388   110.07790559   10.00000000   130.00000000   250.00000000   10.00000000
 "MMM"   1.42396989   0.95821093   1.08957519   1.08699734   1.08993632   108.51130825   111.90796744   108.64292193   110.33780966   15.00000000   135.00000000   255.00000000   15.00000000
 "MMM"   1.42363349   0.95841984   1.08976827   1.08650628   1.09038119   108.45521690   111.88951254   108.36874576   110.57813386   20.00000000   140.00000000   260.00000000   20.00000000
 "MMM"   1.42323595   0.95866645   1.09000212   1.08604933   1.09077854   108.39021687   111.86831022   108.11232612   110.79600539   25.00000000   145.00000000   265.00000000   25.00000000
 "MMM"   1.42280045   0.95893475   1.09026586   1.08563538   1.09112044   108.32075202   111.84545039   107.87916575   110.98944141   30.00000000   150.00000000   270.00000000   30.00000000
 "MMM"   1.42235822   0.95920593   1.09054571   1.08527224   1.09139845   108.25212845   111.82139207   107.67394904   111.15750457   35.00000000   155.00000000   275.00000000   35.00000000
 "MMM"   1.42193586   0.95946217   1.09082867   1.08496600   1.09160848   108.18861996   111.79607151   107.50102533   111.30031985   40.00000000   160.00000000   280.00000000   40.00000000
 "MMM"   1.42156633   0.95968402   1.09109878   1.08472216   1.09174561   108.13504321   111.76870050   107.36342304   111.41900962   45.00000000   165.00000000   285.00000000   45.00000000
 "MMM"   1.42127473   0.95985610   1.09134270   1.08454379   1.09180925   108.09475430   111.73751684   107.26381528   111.51576561   50.00000000   170.00000000   290.00000000   50.00000000
 "MMM"   1.42111603   0.95994205   1.09150501   1.08446326   1.09179036   108.06612323   111.69371503   107.19522912   111.60458004   55.00000000   175.00000000   295.00000000   55.00000000
 "MMM"   1.42103567   0.95999358   1.09165911   1.08440933   1.09173126   108.06066762   111.64513114   107.18235928   111.66082061   60.00000000   180.00000000   300.00000000   60.00000000 
 "MMM"   1.42100455   0.95998072   1.09183210   1.08444020   1.09159495   108.07525041   111.59510403   107.20764771   111.70340226   65.00000000   185.00000000   305.00000000   65.00000000
 "MMM"   1.42114150   0.95989447   1.09184747   1.08449633   1.09143861   108.10403136   111.50741430   107.27812060   111.74989680   70.00000000   190.00000000   310.00000000   70.00000000
 "MMM"   1.42141325   0.95970422   1.09179478   1.08468458   1.09116861   108.14378843   111.42384981   107.37176527   111.77673088   75.00000000   195.00000000   315.00000000   75.00000000
 "MMM"   1.42175595   0.95948696   1.09168071   1.08491515   1.09090240   108.19851869   111.30617617   107.51067564   111.80525982   80.00000000   200.00000000   320.00000000   80.00000000
 "MMM"   1.42215582   0.95923463   1.09149459   1.08520699   1.09062285   108.26244626   111.16396790   107.68505308   111.83133587   85.00000000   205.00000000   325.00000000   85.00000000
 "MMM"   1.42259149   0.95896409   1.09123707   1.08555547   1.09034103   108.33144417   110.99600579   107.89078595   111.85558617   90.00000000   210.00000000   330.00000000   90.00000000
 "MMM"   1.42303164   0.95869491   1.09091351   1.08595422   1.09007204   108.40023396   110.80209938   108.12389792   111.87810734   95.00000000   215.00000000   335.00000000   95.00000000
 "MMM"   1.42344877   0.95844490   1.09052961   1.08639640   1.08982881   108.46436778   110.58326273   108.37949607   111.89826261   100.00000000   220.00000000   340.00000000   100.00000000
 "MMM"   1.42381417   0.95823079   1.09009410   1.08687382   1.08962381   108.51916537   110.34160034   108.65239266   111.91520103   105.00000000   225.00000000   345.00000000   105.00000000
 "MMM"   1.42410251   0.95806638   1.08961717   1.08737757   1.08946729   108.56076394   110.08024222   108.93701723   111.92794950   110.00000000   230.00000000   350.00000000   110.00000000
 "MMM"   1.42429556   0.95796192   1.08910921   1.08789816   1.08936669   108.58634655   109.80331340   109.22762973   111.93546760   115.00000000   235.00000000   355.00000000   115.00000000
 "MMM"   1.42438012   0.95792389   1.08858183   1.08842526   1.08932687   108.59414313   109.51559504   109.51843316   111.93716699   120.00000000   240.00000000   360.00000000   120.00000000
 "MMM"   1.42451123   0.95796319   1.08789957   1.08896752   1.08930471   108.58420529   109.21865573   109.79615116   111.92534955   125.00000000   245.00000000   365.00000000   125.00000000
 "MMM"   1.42426189   0.95805480   1.08749630   1.08945110   1.08942456   108.55336196   108.92780964   110.07643025   111.92126412   130.00000000   250.00000000   370.00000000   130.00000000
 "MMM"   1.42398074   0.95821154   1.08699494   1.08993495   1.08957356   108.51075715   108.64252890   110.33744496   111.90761964   135.00000000   255.00000000   375.00000000   135.00000000
 "MMM"   1.42363710   0.95842009   1.08650573   1.09038070   1.08976780   108.45500500   108.36861304   110.57802735   111.88939455   140.00000000   260.00000000   380.00000000   140.00000000
 "MMM"   1.42323714   0.95866654   1.08604917   1.09077838   1.09000197   108.39014264   108.11228145   110.79597220   111.86827050   145.00000000   265.00000000   385.00000000   145.00000000
 "MMM"   1.42280083   0.95893478   1.08563533   1.09112038   1.09026581   108.32072715   107.87915078   110.98943100   111.84543715   150.00000000   270.00000000   390.00000000   150.00000000
 "MMM"   1.42235835   0.95920594   1.08527222   1.09139844   1.09054569   108.25212025   107.67394413   111.15750127   111.82138772   155.00000000   275.00000000   395.00000000   155.00000000
