f 0 0 1 1 0 0 0 0 0 0 0  1
f 0 0 1 1 0 0 0 0 0 0 0  2
f 0 0 1 1 0 0 0 0 0 0 0  3
f 0 0 1 1 0 0 0 0 0 0 0  4
f 0 0 1 1 0 0 0 0 0 0 0  5
f 0 0 1 1 0 0 0 0 0 0 0  6
f 0 0 1 1 0 0 0 0 0 0 0  7
f 0 0 1 1 0 0 0 0 0 0 0  8
f 0 0 1 1 0 0 0 0 0 0 0  9
f 0 0 2 1 0 0 0 0 0 0 0  1
f 0 0 2 1 0 0 0 0 0 0 0  2
f 0 0 2 1 0 0 0 0 0 0 0  3
f 0 0 2 1 0 0 0 0 0 0 0  4
f 0 0 2 1 0 0 0 0 0 0 0  5
f 0 0 2 1 0 0 0 0 0 0 0  6
f 0 0 2 1 0 0 0 0 0 0 0  7
f 0 0 2 1 0 0 0 0 0 0 0  8
f 0 0 2 1 0 0 0 0 0 0 0  9
f 0 0 3 1 0 0 0 0 0 0 0  1
f 0 0 2 2 0 0 0 0 0 0 0  1
f 0 0 3 1 0 0 0 0 0 0 0  2
f 0 0 2 2 0 0 0 0 0 0 0  2
f 0 0 3 1 0 0 0 0 0 0 0  3
f 0 0 2 2 0 0 0 0 0 0 0  3
f 0 0 3 1 0 0 0 0 0 0 0  4
f 0 0 2 2 0 0 0 0 0 0 0  4
f 0 0 3 1 0 0 0 0 0 0 0  5
f 0 0 2 2 0 0 0 0 0 0 0  5
f 0 0 3 1 0 0 0 0 0 0 0  6
f 0 0 2 2 0 0 0 0 0 0 0  6
f 0 0 3 1 0 0 0 0 0 0 0  7
f 0 0 2 2 0 0 0 0 0 0 0  7
f 0 0 3 1 0 0 0 0 0 0 0  8
f 0 0 2 2 0 0 0 0 0 0 0  8
f 0 0 3 1 0 0 0 0 0 0 0  9
f 0 0 2 2 0 0 0 0 0 0 0  9
f 0 0 4 1 0 0 0 0 0 0 0  1
f 0 0 3 2 0 0 0 0 0 0 0  1
f 0 0 4 1 0 0 0 0 0 0 0  2
f 0 0 3 2 0 0 0 0 0 0 0  2
f 0 0 4 1 0 0 0 0 0 0 0  3
f 0 0 3 2 0 0 0 0 0 0 0  3
f 0 0 4 1 0 0 0 0 0 0 0  4
